ID,kashmiri_text
1,سۆہ ٲس اکھ پوز بصیرت تھونہِ واجیَن۔
2,بہٕ چھُس روزانہٕ پننِس سکوٗلَس گَژھان۔
3,تُہیہ چھِو وَقت ضایع کَرن وٲلۍ۔
4,تٔمی کٔر سۆہ پننہِ زِندہ دِلی ہِیو سٟتۍ مُتٲثِر۔
5,کٲنسی چھُنہٕ مولوٗم سۆہ کتیہِ پٲٹھۍ آیِہ۔
6,یِمِہ چھِ اِنسانی فِطرَتہِ ہِنٛزِ کینٛہہ سَچٲئی۔
7,تِمَن پَزِ مَقصد تھون تہٕ پوز نِیَتھ تھٲوِتھ۔
8,تُہیہ کِتھہِ کٔنۍ ہیکِیو تٔمِس یِتھہِ کَنہِ آوارہ گَژھنہٕ دِتھ؟
9,یہِ چھُ مَستَن ہُنٛد اکھ لَٹہٕ۔
10,تٔمِس مَنز چھِ واریاہ اَصٕل عادَت۔
11,سۆہ ٲس گُلابی کیپَس مَنز خوبصوٗرت لَگان۔
12,تٔمِس چھُ اکھ کَمَرہ یَتھ مَنز اکھ ہی بستر چھُ۔
13,نَزدیٖک پوسٹ آفس کتیہِ چھُ؟
14,تٔمِس ہنٛدِ کَمَرُک شیشہِ واہ اَلماٲرؠ ٲس واریاہ خوبصوٗرت۔
15,بہٕ چھُس تُہیہ بَروَسہِ دِوان زِ کٲم گَژھِ۔
16,سۆہ قانوٗن چھُنہٕ اب کٲم کَران۔
17,یہِ چھُ وَقت زِ اَسہِ پَزِ زَنانہِ ہِنٛدین مَسلَن پؠٹھ پننۍ سوچ بَدلٲوِنؠ۔
18,اغوا کارو منگو تٔمِس ہِنٛدِ خاندانس نِش زِ لَچھ روپئے فِدیہِ۔
19,بَگُل چھُ ہِلُن شُروٗع کَران۔
20,تٔمِس ٲس شَہَرَس مَنز اکھ طاقَت۔
21,سۆہ چھِ پانژ فٹ زیٖٹھ۔
22,میہ کٔر میچ زیٛننہٕ خٲطرہ پوری کوشِش۔
23,سۆہ ٲس نہٕ یِوان یِنؠ۔
24,خاندانی جایداد گۆو بانٹنہٕ۔
25,تٔمِس کٔرِو اَصٕل پٲٹھۍ خدمت، سۆہ چھِ بَگہٕ ہِنٛز مَلکہٕ۔
26,ڈاکٹرَو کٔر تٔمِس ہِنٛز مَثانہٕ نێبَر۔
27,سۆہ چھِ گُرِس سٟتۍ ظُلم کَران۔
28,سۆہ اُڑیو شَہَر پیٹھہِ۔
29,تٔمِس ہُنٛد کِردار اوس مَزاقِیہ تہٕ شَرارتی۔
30,طالِب عِلمَن پَزِ ہوسٹل خٲلی کَرُن۔
31,تٔمِس زیٛاو اکھ نؠچو۔
32,تٔمِس چھُ اکھ کٲمِل جُھولا۔
33,مُشکِل حَل کَرن وول چھُنہٕ مَسلہٕ زاننہِ مَنز کامیاب گَژھان۔
34,سۆہ چھُ جنگلَس مَنز گَژھنہٕ بَرَوہ زیٹھِ سَڑکہِ پار کَران۔
35,آتِش فشاں ہِنٛز پانژ اہم قِسمہٕ چھِ۔
36,سۆہ چھُ پننۍ کَتھ ثٲبِت کَرنہِ ہِنٛز کوشِش کَران۔
37,مِہرُبانی کٔرِتھ تھٲوِو پنُن غُسل خانہٕ صٲف۔
38,سکوٗل گَژھنہٕ بَرَوہ کٔرِو پننؠن جُتَن اَصٕل پٲٹھۍ پالِش۔
39,تِمَن پَزِ گۆڈہٕ زَخمَن پؠٹھ پَٹی کَرِنؠ۔
40,تٔمِس ہِنٛز سارِوئی کھۆتہٕ بَڈ طاقَت چھِ تٔمِس ہِنٛز سمجھ۔
41,میہ چھُ حُکومَت سٟتۍ گھرِ کٲم کَرنہِ خٲطرہ اِنتِظام کۄرمُت۔
42,حالس مَنز چھُ سۆہ مُلکہٕ نێبَر کٲم کَران۔
43,کَنکُک آٹہٕ کٔرِو اَصٕل پٲٹھۍ پِیون۔
44,تَمِس لَڑکَس مَس مَژھ۔
45,میہ بُوز نہٕ تِم کیاہ ٲسۍ وَنان تِکازی تِم ٲسۍ کَنہِ بوزان۔
46,تِمَو تھوۍ پننہِ مانگہٕ زورہٕ سٟتۍ پؠٹھ۔
47,فِلمُک آواز تہٕ تصویر پَزِ اکھ سٟتۍ مِلُن۔
48,تٔمِس ہُنٛد رَنٛگ چھُ سفید۔
49,اَسہِ لۆب باغَس مَنز اکھ کٔچھو۔
50,اَسہِ چھُ اکھ خوبصوٗرت بَنٛگلس مَنز قیام کۄرمُت۔
51,بہٕ اوس نہٕ صرف مایوٗس، بَلکہِ بہٕ اوسُس پوٗرہ پٲٹھۍ ٹوٗٹمُت۔
52,تٔمِس ہیکۆو تِمَن مُشکلاتَن اَصٕل پٲٹھۍ سامنہٕ کٔرِتھ۔
53,اَسہِ ہیکِہِ بیہِ کینٛہہ سامان نِیُن پؠدِتھ۔
54,میہ چھُ اکھ اَصٕل سوچ آمت۔
55,بَرطَنَس لٲوِو تیل۔
56,بَستی ہِنٛدۍ لوٗکھ ٲسۍ لیڈرَس یِنہِ پؠٹھ واریاہ خوش۔
