ID,sentence,Usage
151,What is the date today?,Public
152,My friend has just come out of hospital.,Public
153,Don't victimise the weak.,Public
154,His greatest attribute was his helpful nature.,Public
155,He is considered the man of highest credit.,Public
156,She definitely needs the money.,Public
157,He has a boil on his back.,Public
158,I think that's sufficient.,Public
159,The Indian team met the Australians in the finals.,Public
160,Mountaineers have to take several long pulls to reach their destination.,Public
161,His answer was very brief.,Public
162,She has a small chin.,Public
163,He had a visceral dislike of Europe.,Public
164,He often tyrannizes his family.,Public
165,Apples from this region are freighted all over the world.,Public
166,The watercourse is being dried up.,Public
167,The goal of all students should be surpassing others.,Public
168,That gun has a long bore.,Public
169,I don't think so! she replied tartly.,Public
170,The doctor is very patient with his patients.,Public
171,I watched the movie on videotape.,Public
172,We measure fever with a thermometer.,Public
173,It was a joint operation of police and army.,Public
174,My mother motivated me to choose this profession only.,Public
175,The incident has to be logged.,Public
176,He made a cool appraisal of all issues in the dispute.,Public
177,We have enough quantity of provisions for the month.,Public
178,Prices of fruits vary from place to place.,Public
179,The school extended invitation to the parents on the annual day.,Public
180,She has committed herself for completing the research.,Public
181,He described them as a virtuous and hard-working people.,Public
182,He is better at practical tasks.,Public
183,"He is verminous, dirty person.",Public
184,Give the floor a good wipe.,Public
185,He is working in the personnel department.,Public
186,I am devoted to my father.,Public
187,I just can't sing in tune!,Public
188,The pitchers play a very important role in base ball.,Public
189,The teacher can`t guarantee you success in the exams.,Public
190,We enjoyed our journey to the fells.,Public
191,He delivered couple of punches with great force.,Public
192,The monk was found to be a fraud.,Public
193,He objected to his use of indecent language.,Public
194,Oil is barrelled before shipping to other countries.,Public
195,I've found a vase that's an exact match of one we already have.,Public
196,They netted many fishes.,Public
197,"This is her family trade, passed (down) from generation to generation.",Public
198,What features do you look for when buying a car.,Public
199,This summer he is visiting his aunt in Paris.,Public
200,Her house is pretty big.,Public
201,The holiday gave us an opportunity to visit Washington.,Public
202,He felt a twinge when he stood up,Public
203,The academic standards differ in the institutions.,Public
204,Journalists are an interesting race.,Public
205,The teacher whipped the boy.,Public
206,Maryam came to the party in a pink coloured dress.,Public
207,He joined the company as a trainee.,Public
208,Thank you very much for your cooperation.,Public
209,I won`t eat that poison.,Public
210,He is well versed in history.,Public
211,The miracle left everyone speechless.,Public
212,Where did you keep that paper?,Public
213,The suspense was unbearable.,Public
214,The soldiers have to stand for hours without changing position.,Public
215,His father is a clerk.,Public
216,They're building a new school in the village.,Public
217,Efforts are being made to preserve the wildlife.,Public
218,The fisherman had a weather-beaten face.,Public
219,He is well versed in history.,Public
220,She belongs to a poor class.,Public
221,Aluminium is a composite metal.,Public
222,Her ring had a gold coating.,Public
223,I want to make an enquiry about train times.,Public
224,Pine trees are found in cool northern regions and are used for making furniture.,Public
225,That is a newly discovered planet.,Public
226,The Taj Mahal is made of marble.,Public
227,My mother usually prepares a special dish on Saturday.,Public
228,Please transfer money.,Public
229,He glanced at me.,Public
230,Add up all the numbers.,Public
231,The terms are subject to the approval of the managing committee.,Public
232,She will acquire the files by tommorrow.,Public
233,Please put away your toys.,Public
234,"She dislikes me, and vice versa.",Public
235,This job is usually prefered by females.,Public
236,Without evidence we could only surmise that something was wrong,Public
237,The width of this corridor is eight feet.,Public
238,Two other points must be abstracted from the lecture.,Public
239,She refused her suitor.,Public
240,Their work must be checked weekly.,Public
241,He has a prominent pimples on his face.,Public
242,The available load is not enough to meet the requirements of the city.,Public
243,I don't know him personally.,Public
244,He grew up in a conventional environment.,Public
245,There are fifteen of us present.,Public
246,He leaned across to wait for us.,Public
247,I'm thrilled.,Public
248,He was packing his luggage for a holiday tour.,Public
249,Anyone could walk up into the enclosure.,Public
250,He turned around and walked back to the bus station.,Public
251,Water chestnuts are very crispy.,Public
252,All these trusteeships were slowly returned to Japanese rule.,Public
253,The vigilantes dragged the men out.,Public
254,They use vermilion to colour their cheeks.,Public
255,The climbers failed to reach the summit.,Public
256,By reading she improved her vocabulary.,Public
257,This is a fine colour for your shirt.,Public
258,I will try again tomorrow.,Public
259,Women have to fight for their emancipation.,Public
260,Numerous people saw the movie.,Public
261,My laptop processes much more quickly than my computer.,Public
262,The cow is afflicted with pharyngitis۔,Public
263,The stadium is in farther northern part of the city.,Public
264,Do you want anything to eat?,Public
265,My friend has ultra sensitive ears,Public
266,The army was deployed as a defensive force.,Public
267,Undesirable consequences flow from these misconceptions.,Public
268,I am very upset,Public
269,The ship was leaning over to port.,Public
270,The police play a vital role in our society.,Public
271,I made multiple copies of the document.,Public
272,Computer is included in the curriculum at the schools.,Public
273,We need to encourage innovation in industry.,Public
274,He is a very efficient person.,Public
275,A thunderclap exploded above us.,Public
276,Will you make a drink for me?,Public
277,It is good to know our own strengths and weaknesses.,Public
278,It's just a waste of money.,Public
279,I like almost all colours except pink.,Public
280,He was given a gift voucher.,Public
281,He is a wise and a clever fellow.,Public
282,Is tea included with this meal?,Public
283,Parents of brilliant students always feel proud of them.,Public
284,The children were well behaved.,Public
285,If we heat iron it becomes red.,Public
286,She has a variety of clothes.,Public
287,Relations have to be built on trust.,Public
288,We have to pull the weeds,Public
289,You're terrifying the kid.,Public
290,He is virtueless.,Public
291,We visited them twice in 10 years.,Public
292,The surgeons knife penetrated deep into the patient's body.,Public
293,I helped an aged man to cross the road.,Public
294,The old machine pulled hard when it was operated after a time gap of one month.,Public
295,He came to see me at my office with a business proposition.,Public
296,They are trampling on our rights.,Public
297,I have named my son Hassan.,Public
298,Surely we should do something about it?,Public
299,He stood third in the test.,Public
300,She told him where to put the luggage.,Public
